time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160621:0710,38022,8.03,198.07,4.36,34.27,14.85,2.05,0
20160621:0810,63780,41.44,293.48,6.99,44.31,15.46,2.07,0
20160621:0910,81444,71.01,355.1,8.7,53.75,16.06,2.1,0
20160621:1010,27742,0,156.51,3.28,61.55,17.1,2.23,0
20160621:1110,39702,0,217.13,4.55,65.8,18.13,2.35,0
20160621:1210,22636,0,132.08,2.77,64.53,19.17,2.48,0
20160621:1310,25818,0,148.37,3.11,58.42,19.5,2.45,0
20160621:1410,16178,0,99.52,2.08,49.72,19.82,2.41,0
20160621:1510,29664,0,168.27,3.52,39.93,20.14,2.37,0
20160621:1610,10952,0,72.38,1.52,29.8,19.97,1.84,0
20160621:1710,29694,52.83,126.87,4.32,19.77,19.81,1.31,0
20160621:1810,8406,0,58.65,1.31,10.16,19.64,0.77,0
20160621:1910,0,0,0,0,0,19.13,0.74,0
20160621:2010,0,0,0,0,0,18.62,0.71,0
20160621:2110,0,0,0,0,0,18.12,0.68,0
20160621:2210,0,0,0,0,0,17.12,0.72,0
20160621:2310,0,0,0,0,0,16.12,0.76,0
20160622:0010,0,0,0,0,0,15.12,0.8,0
20160622:0110,0,0,0,0,0,14.78,0.76,0
20160622:0210,0,0,0,0,0,14.44,0.72,0
20160622:0310,0,0,0,0,0,14.1,0.68,0
20160622:0410,684,0,11.9,0.27,5.05,15.45,1.1,0
20160622:0510,12918,0,81.6,1.82,14.29,16.81,1.53,0
20160622:0610,29524,97.44,93.44,6.42,24.12,18.17,1.96,0
20160622:0710,73302,320.08,83.45,10.16,34.23,20.15,1.55,0
20160622:0810,110822,470.62,132.12,12.75,44.28,22.14,1.14,0
20160622:0910,141858,683.7,114.78,15.48,53.72,24.12,0.73,0
20160622:1010,160934,800.71,128.52,17.07,61.53,25.24,0.77,0
20160622:1110,169828,854.48,142.99,17.77,65.79,26.37,0.81,0
20160622:1210,170218,872.19,133.75,17.68,64.54,27.49,0.86,0
20160622:1310,162178,821.85,122.78,16.64,58.44,27.86,1.11,0
20160622:1410,142134,680.65,128.99,14.57,49.75,28.23,1.36,0
20160622:1510,112492,509.18,120.24,11.92,39.97,28.6,1.61,0
20160622:1610,73240,309.69,105.63,8.75,29.84,27.82,1.64,0
20160622:1710,29874,134.88,68.1,5.61,19.81,27.03,1.66,0
20160622:1810,6034,0,46.75,1.04,10.2,26.25,1.68,0
20160622:1910,0,0,0,0,0,24.48,1.8,0
20160622:2010,0,0,0,0,0,22.71,1.92,0
20160622:2110,0,0,0,0,0,20.94,2.04,0
20160622:2210,0,0,0,0,0,20.11,1.81,0
20160622:2310,0,0,0,0,0,19.29,1.58,0
20160623:0010,0,0,0,0,0,18.47,1.35,0
20160623:0110,0,0,0,0,0,17.99,1.47,0
20160623:0210,0,0,0,0,0,17.51,1.59,0
20160623:0310,0,0,0,0,0,17.03,1.71,0
20160623:0410,2378,0,23.8,0.53,5.01,18.37,2.05,0
20160623:0510,8892,0,61.2,1.36,14.25,19.71,2.39,0
20160623:0610,27290,117.2,69.39,6.76,24.08,21.05,2.73,0
20160623:0710,72088,313.26,87.93,10.08,34.19,23.38,2.27,0
20160623:0810,109710,470.46,132.09,12.75,44.24,25.71,1.81,0
20160623:0910,139880,670.95,122.78,15.38,53.68,28.04,1.35,0
20160623:1010,159478,799.64,129.56,17.07,61.5,28.8,1.19,0
20160623:1110,166970,838.55,152.4,17.66,65.78,29.56,1.03,0
20160623:1210,167802,872.26,133.75,17.68,64.55,30.32,0.87,0
20160623:1310,160264,821.97,122.79,16.64,58.46,30.65,1.22,0
20160623:1410,139972,669.24,136.25,14.49,49.78,30.97,1.57,0
20160623:1510,111418,510.39,119.26,11.92,39.99,31.29,1.92,0
20160623:1610,72098,304.64,109.48,8.72,29.87,30.53,1.68,0
20160623:1710,29718,130.78,72.63,5.57,19.84,29.76,1.44,0
20160623:1810,6234,0,48.45,1.08,10.22,29,1.2,0
20160623:1910,0,0,0,0,0,27.3,1.44,0
20160623:2010,0,0,0,0,0,25.6,1.68,0
20160623:2110,0,0,0,0,0,23.9,1.92,0
20160623:2210,0,0,0,0,0,22.99,1.77,0
20160623:2310,0,0,0,0,0,22.08,1.63,0
20160624:0010,0,0,0,0,0,21.18,1.49,0
20160624:0110,0,0,0,0,0,21.04,1.59,0
20160624:0210,0,0,0,0,0,20.9,1.68,0
20160624:0310,0,0,0,0,0,20.77,1.78,0
20160624:0410,2208,0,22.95,0.51,4.97,21.25,2.03,0
20160624:0510,8642,0,60.35,1.35,14.2,21.74,2.29,0
20160624:0610,30492,70.2,121.67,5.84,24.03,22.22,2.54,0
20160624:0710,47112,33.49,228.55,5.67,34.15,23.54,2.07,0
20160624:0810,113472,539.92,82.29,13.26,44.19,24.85,1.6,0
20160624:0910,139900,657.3,131.79,15.29,53.63,26.17,1.13,0
20160624:1010,158734,756.44,157.33,16.79,61.46,26.44,1.11,0
20160624:1110,168872,822.69,162.85,17.56,65.76,26.71,1.09,0
20160624:1210,169926,841.12,153.84,17.49,64.55,26.98,1.08,0
20160624:1310,161746,793.11,141.82,16.46,58.48,27.17,1.26,0
20160624:1410,129342,484.2,243.59,13.21,49.8,27.35,1.43,0
20160624:1510,110916,473.75,143.21,11.67,40.02,27.53,1.61,0
20160624:1610,72050,282.83,123.74,8.53,29.89,26.87,1.5,0
20160624:1710,30394,115.27,85.55,5.36,19.86,26.2,1.38,0
20160624:1810,8310,0,59.5,1.33,10.24,25.54,1.27,0
20160624:1910,0,0,0,0,0,24.46,1.34,0
20160624:2010,0,0,0,0,0,23.39,1.42,0
20160624:2110,0,0,0,0,0,22.32,1.49,0
20160624:2210,0,0,0,0,0,21.5,1.27,0
20160624:2310,0,0,0,0,0,20.68,1.06,0
20160625:0010,0,0,0,0,0,19.86,0.84,0
20160625:0110,0,0,0,0,0,19.77,0.92,0
20160625:0210,0,0,0,0,0,19.68,1,0
20160625:0310,0,0,0,0,0,19.6,1.08,0
20160625:0410,0,0,4.25,0.09,4.92,19.72,1.43,0
20160625:0510,880,0,13.6,0.3,14.15,19.85,1.79,0
20160625:0610,4384,0,36.19,0.76,23.98,19.97,2.15,0
20160625:0710,24352,0,141.13,2.96,34.1,19.84,2.58,0
20160625:0810,54822,22.02,272.48,6.16,44.14,19.71,3.02,0
20160625:0910,69022,35,331.15,7.56,53.59,19.58,3.45,0
20160625:1010,35734,0,198.13,4.15,61.42,19.74,3.37,0
20160625:1110,161610,557.06,313.55,15.71,65.73,19.9,3.29,0
